"ProjectID","Project Title","PAAS Code","Approval Status","Fund","PAG Value","Start Date","End Date","Country(ies)","Lead Org Unit","Theme(s)","Donor(s)","Total Expenditure","Total Contribution","Total Contribution - Total Expenditure","Total PSC"
"1699","FSRAS11S01: Rehabilitation and Reconstruction Facility Phase V","D321","Pending Approval","QXB","47,300","1-Jan-11","31-Dec-11","Regional - Asia","","Risk Reduction and Rehabilitation","PM of Japan to the United Nations","47,300","47,300","0","5,442"
"1700","FDRAS11S02: Enhancement of Technical Cooperation towards Environmentaly Sustainability","D322","Pending Approval","FJP","91,890","1-Apr-11","31-Dec-12","Japan","Regional Office for Asia and the Pacific","Urban Planning and Design","PM of Japan to the United Nations","91,890","91,890","0","10,571"
"1701","XBCPR11X01: Low Carbon Economy and Sustainable Urban Development Pilot Project - Jiangyin Non-Development Zone Practice","D323","Pending Approval","QXB","120,979","1-Jan-11","31-Jan-14","China","Regional Office for Asia and the Pacific","Urban Basic Services","Construction Bureau of Jiangyin City , CONSTRUCTION BUREAU OF JIANGYIN CITY","119,806","120,979","1,173","10,891"
"1702","XBMYA11X02: Emergency Shelter Support for Homeless and Vulnerable Populations in","D324","Pending Approval","QXB","499,904","15-Mar-11","31-Dec-11","Myanmar","","Risk Reduction and Rehabilitation","Office for the Coordination of Humanitarian Affairs (OCHA)","499,904","499,904","0","32,704"
"1703","XBPAK11X02: Geographic Information System (GIS) Capacity Building for National Population Census","D325","Pending Approval","QXB","2,465,948","1-Feb-11","31-Dec-13","Pakistan","Regional Office for Asia and the Pacific","Research and Capacity Development","UNFPA Pakistan , UNFPA-PAKISTAN","2,514,271","2,523,897","9,626","164,485"
"1704","XBMYA11X03: Rakhine Settlement Support Project (RSSP)","D326","Pending Approval","QXB","1,046,051","18-Apr-11","17-Apr-12","Myanmar","Regional Office for Asia and the Pacific","Housing and Slum Upgrading","PM of Norway to the United Nations, PM OF NORWAY TO THE UNITED NATIONS","1,016,703","1,044,007","27,304","68,293"
"1705","SRL11X01: Support to Conflict Affected People Through Housing (AusAid)","D327","Pending Approval","QXB","3,500,000","1-Apr-11","31-Mar-12","Sri Lanka","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","AusAID, AUSTRALIAN AGENCY FOR INTL DEVELOPMENT (AUSAID)","3,628,040","3,619,643","-8,397","236,800"
"1707","XBHAI11X03: Gestation des debris dans les quartiers precaires de Port-au-Prince","F098","Pending Approval","QXB","1,598,326","1-Jan-11","31-May-16","Haiti","Regional Office for Latin America and Caribbean","Risk Reduction and Rehabilitation","UNDP Res Rep Haiti , UNDP-HAITI","1,142,822","1,598,326","455,504","74,591"
"1708","XBHAI11X01: Coordination of the Haiti Shelter Cluster by UN-Habitat","F099","Pending Approval","QXB","463,743","1-Jan-11","31-May-16","Haiti","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance","CARE International , European Union , GROUP OF SPONSORS","568,695","566,826","-1,869","38,921"
"1709","XBHAI11X02: UN-HABITAT Emergency and Recovery Response to Haiti Earthquake: Community-based response to Cholera","F100","Pending Approval","QXB","261,262","1-Jan-11","31-Dec-11","Haiti","Regional Office for Latin America and Caribbean","Risk Reduction and Rehabilitation","","254,279","261,292","7,013","16,635"
"1711","FDGLO11F02: Slum Upgrading and Prevention and Sustainable Housing Solutions thro","G061","Pending Approval","FNE","40,000","1-Jan-11","31-Dec-11","GLOBAL","","Housing and Slum Upgrading","","0","0","0","0"
"1713","Development of the Initial Design of a Pro-poor Land Recordation System","G063","Pending Approval","FNE","28,833","1-Feb-11","31-Dec-11","GLOBAL","","Urban Land, Legislation & Governance","","28,833","0","-28,833","0"
"1714","FDGLO11F07: Support to the Head, Shelter Branch Office","G064","Pending Approval","FNE","26,475","1-Apr-11","31-Dec-11","Kenya","","","","0","0","0","0"
"1717","FSUGA11S01: Empowerment of Vulnerable Urban Youth for Socio-Economic Inclusion a","H141","Pending Approval","FOD","413,742","1-Mar-11","31-Aug-16","Uganda","Urban Economy","Urban Economy","UNFPA , , GROUP OF SPONSORS, UNFPA-KENYA","494,207","516,928","22,721","29,568"
"1719","FDGLOF60/SIDA: Quick Guide for Policy makers and Practitioners on Urban Planning","J081","Approved","FOD","100,000","1-Jan-12","31-May-16","GLOBAL","Urban Planning and Design","Urban Planning and Design","Booyoung, BOOYOUNG","99,606","0","-99,606","11,459"
"1720","FSKEN10S01: Proposal for continuation of the implementation of Phase II of the Urban Planning Programme in the Lake Victoria Region through MTSIP","J082","Approved","FOD","13,459","1-Jan-11","31-May-16","Kenya","Regional Office for Africa","Urban Planning and Design","PM of Slovenia to the United Nations , PM OF THE REPUBLIC OF SLOVENIA TO THE UN","12,514","13,459","945","1,270"
"1721","FSGLO10S15: URBAN SAFETY AND SOCIAL COHESION AGENDA FOR SUSTAINABLE DEVELOPMENT, GOVERNANCE AND COMPETITIVENESS IN WORLD CITIES","J083","Approved","FFR","497,111","1-Sep-11","31-Dec-16","GLOBAL","Programme Division","Risk Reduction and Rehabilitation","Alcaldia Mayor de Bogota D.C, PM of France to the United Nations, PM of Germany to the United Nations, , ALCALDIA MAYOR DE BOGOTA D C, PM OF FRANCE TO THE UNITED NATIONS, PM OF GERMANY TO THE UNITED NATIONS","1,037,962","1,022,226","-15,737","87,983"
"1722","FDGLO11F06: Urban Biodiversity, Wetlands and Ecosystem-based Adaptation in Citie","J084","Approved","FNE","50,000","1-Jan-11","31-Dec-11","GLOBAL","Urban Planning and Design","Urban Planning and Design","","0","0","0","0"
"1726","FSRAF11S03: TRANSITION PLANNING FOR URBAN FINANCE ACTIVITIES","S006","Approved","-","","13-Apr-11","31-Dec-11","Regional - Africa","","","","0","73,000","73,000","0"
"1731","FDM0111NOR/MTSIP-NORWAY: Organisational Review","T058","Approved","FNE","101,074","1-Jan-11","31-Dec-12","GLOBAL","Programme Division","Management","","101,074","0","-101,074","0"
"1732","FDM0111SWE/MTSIP-SIDA: Organisational Review","T059","Approved","FNE","119,851","1-Jan-11","31-Dec-12","GLOBAL","Programme Division","Management","Swedish International Development Cooperation Agency (SIDA)","119,988","0","-119,988","0"
"1733","FDM0211SWE/MTSIP-SIDA: Review of UN-Habitat's participation in the Delivering as","T060","Approved","FNE","48,793","1-Jan-11","31-Dec-12","GLOBAL","Management and Operations","Management","Swedish International Development Cooperation Agency (SIDA)","48,714","0","-48,714","0"
"1734","FDM0211NOR/MTSIP-NORWAY: Continued Implementation of MTSIP Focus Area 6","T061","Approved","FNE","161,719","1-Jan-11","31-Dec-12","GLOBAL","Management and Operations","Management","","161,719","0","-161,719","0"
"1735","FDM0311SWE/MTSIP-SIDA: Development of Knowledge Management Systems","T062","Approved","FNE","460,673","1-Jan-11","31-Dec-13","GLOBAL","Management and Operations","Management","Swedish International Development Cooperation Agency (SIDA)","461,840","0","-461,840","0"
"1737","FDM0111FNE-MTSIP: Promoting Normative and Operational Development of Sustainable","T064","Approved","FNE","100,000","1-Jan-11","31-Dec-11","GLOBAL","Urban Economy","Management old","","10,212","0","-10,212","0"
"1749","FDWAT11INT: WATER AND SANITATION TRUST FUND (INTEREST ALLOCATION)","W039","Approved","FWS","2,500,000","1-Jan-11","31-Dec-19","GLOBAL","Urban Basic Services","Urban Basic Services","GROUP OF SPONSORS","2,627,308","-25,507","-2,652,816","0"
"1750","WATER AND SANITATION TRUST FUND - BASF Social Foundation Contribution for WATSAN education in Mangalore, India.","W040","Approved","FWS","195,659","1-Jan-11","31-Dec-14","India","Urban Basic Services","Urban Basic Services","BASF Stiftung","159,406","195,659","36,252","11,121"
"1751","WATER AND SANITATION TRUST FUND - Water and Environmental Sanitation improvement in Coastal Communities in Karachi, Pakistan (Coke Foundation Contribution)","W041","Approved","FWS","97,500","1-Jan-11","31-Dec-12","Pakistan","Urban Basic Services","Urban Basic Services","United Nations Fund for International Partnership (UNFIP)","83,609","97,500","13,891","3,981"
"1752","WATER AND SANITATION TRUST FUND (Fukuoka Habitat Institute Contribution)- LAO PDR (MEKWASAN)","W042","Approved","FWS","60,000","1-Jan-11","31-Dec-12","Laos","Urban Basic Services","Urban Basic Services","FHK","60,000","60,000","0","6,903"
"1753","Water and Sanitation Trust Fund (ACCD: Catalan Agency for Development Coop)","W043","Approved","FWS","134,810","27-Nov-11","31-Dec-12","GLOBAL","Urban Basic Services","Urban Basic Services","ACCD (Catal Coop Dev Agency), AGENCIA CATALANA DE COOPERACIO AL DESENVOLUPAMENT-ACCD CATAL COOP DEV AG","159,217","134,810","-24,407","8,819"
"1754","Water and Sanitation Trust fund (Coca Cola India Contribution)","W044","Approved","FWS","299,895","1-Jan-11","31-May-16","GLOBAL","Urban Basic Services","Urban Basic Services","Coca Cola India Pvt Ltd. (CCI), COCA COLA INDIA PVT LTD - CCI","299,895","299,895","0","34,501"
"1755","XBPAK11X04: GIS AUTOMATION AND CAPACITY BUILDING SUPPORT FOR CENSUS","D328","Approved","QXB","450,000","1-Jun-11","31-Dec-13","Pakistan","Regional Office for Asia and the Pacific","Research and Capacity Development","PM of Spain to the United Nations, UNDP MPTF (Multi-Partner Trust Fund)","449,664","450,000","335","29,417"
"1756","FSGLO11S02: HUMAN SETTLEMENTS AND CRISIS PROGRAMME","K091","Approved","FOD","206,000","1-Apr-11","31-Aug-16","GLOBAL","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","Swedish International Development Cooperation Agency (SIDA) , UNHCR - HQ , UNHCR-HQ","270,671","216,071","-54,600","22,560"
"1757","RAS11TOH: Strengthening administrative and financial support services of ROAP","TOH1","Approved","-","","1-Jan-11","31-Dec-12","Regional - Asia","Regional Office for Asia and the Pacific","Management","","538,160","0","-538,160","0"
"1758","Promoting Sustainable Transport Solutions for East African Cities","W045","Approved","FEV","2,850,000","1-Jan-11","31-Dec-17","Ethiopia, Kenya, Uganda","Urban Basic Services","Urban Basic Services","UNEP/GEF Secretariat - Kenya, , GROUP OF SPONSORS, UNEP - INTERNAL UMOJA USE","2,742,001","2,779,728","37,726","131,111"
"1759","FSINS11S01: Making Urban Investment Planning Work: Building on the Indonesian CDS Experience","D329","Approved","FCL","488,200","1-Apr-11","30-Jun-15","Indonesia","Regional Office for Asia and the Pacific","Urban Planning and Design","IBRD/World Bank, , WORLD BANK-HQ","485,765","488,200","2,435","0"
"1760","XBCUB11X01: Cuba-Colombia South-South Cooperation: Improving citizen capacities in their participation in climate change adoption processes and risk reduction in Columbia and Cuba","F102","Approved","QXB","294,607","1-Jun-11","31-Dec-13","Colombia, Cuba","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance","Corporacion Volver a la Gente","292,774","294,607","1,833","21,606"
"1761","Water and Sanitation Trust Fund (UNOPS Contribution to World Water Day 2011)","W046","Approved","FWS","124,500","1-Jan-11","31-Dec-18","GLOBAL","Urban Basic Services","Urban Basic Services","UNOPS - Switzerland , , UNOPS-SWITZERLAND","114,498","99,500","-14,998","3,238"
"1762","Water and Sanitation Trust Fund (UNEP Contribution to World Water Day 2011)","W047","Approved","FWS","20,000","1-Jan-11","31-Dec-11","GLOBAL","Urban Basic Services","Urban Basic Services","United Nations Environment Programme (UNEP)","20,000","20,000","0","1,818"
"1764","FOSTERING AN INTEGRATED AND INCLUSIVE DEVELOPMENT OF RIO DE JANEIRO’S FAVELAS - THE RIO+SOCIAL PROGRAMME","F101","Approved","QXB","9,371,440","1-Jun-11","9-Mar-18","Brazil","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance","Instituto Pereira Passos/Prefeitura da Cidade do Rio de Janeiro , , INSTITUTO PEREIRA PASSOS PREFEITURA DA CIDADE DO RIO DE JANEIRO","9,398,745","9,297,299","-101,445","448,131"
"1767","XBMAG11X01: Human Security project for the prevention of violence and vulnerability reduction for the most vulnerable inhabitants of Antananarivo, Madagascar","C303","Approved","QXB","1,251,150","1-May-11","31-Oct-16","Madagascar","Regional Office for Africa","Urban Land, Legislation & Governance","UNICEF - Madagascar , UNTFHS, , UN TRUST FUND FOR HUMAN SECURITY","1,286,038","1,283,151","-2,887","84,133"
"1768","FSEGY11S01: Establishment of the Regional Office for the Arab States in Cairo","C304","Approved","FOD","2,570,000","1-Jun-11","7-Aug-21","Egypt","Regional Office for Arab States","Management","PM of Egypt to the United Nations, PM OF THE ARAB REP. OF EGYPT TO THE UN","2,457,748","3,768,021","1,310,273","277,768"
"1769","""XBSOM11X05: Halabokad Permanent Shelter and Social Infra-structure","C305","Approved","QXB","169,908","2-Feb-11","31-May-16","Somalia","Regional Office for Africa","Housing and Slum Upgrading","United Nations High Commission for Refugees Somalia Branch Office - UNCHR (SoCo), UNHCR-SOMALIA","169,905","169,908","3","11,115"
"1770","FSMLW11S01: Malawi City Development Strategy and Slum Upgrading Programme Phase","C306","Approved","FCL","400,000","1-Sep-11","31-Dec-13","Malawi","Regional Office for Africa","Housing and Slum Upgrading","IBRD HQ (Washington)","175,000","175,000","0","0"
"1771","XBSOM11X06: Sustainable Employment Creation and Improved Livelihoods for Vulnerable Urban Communities in Mogadishu.","C307","Approved","QXB","4,580,815","1-Oct-11","31-Dec-16","Somalia","Regional Office for Africa","Urban Economy","European Union , , EUROPEAN UNION - DELEGATION TO KENYA, UNDP-HQ","4,577,286","4,580,815","3,529","299,494"
"1772","Institutional Capacity Development in Darfur on Urban and Regional Planning and Land Management","C308","Approved","QXB","2,128,315","1-Nov-11","31-Oct-16","Sudan","Regional Office for Arab States","Urban Planning and Design","USAID, USAID - WASHINGTON US AGENCY FOR INTERNATIONAL DEVELOPMENT","2,127,890","2,129,517","1,627","138,084"
"1773","XBMYA11X04: Post-Cyclone Giri Community-Based Emergency and Early Recovery Initiative","D330","Approved","QXB","968,502","1-Jul-11","30-Jun-12","Myanmar","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","UNDP Res Rep Myanmar, UNDP-MYANMAR","931,060","930,632","-428","60,766"
"1774","XBPAK11X05: Toward Refugee-Host Fusion Local Government","D331","Approved","QXB","198,083","1-Sep-11","31-Jul-16","Pakistan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","UNHCR , UNHCR-PAKISTAN","198,083","187,959","-10,125","12,959"
"1775","XBPAK11X07: Life-saving WASH intervention for Flood Affected Population in Mirpu","D332","Approved","QXB","697,779","5-Oct-11","4-Jan-12","Pakistan","Regional Office for Asia and the Pacific","Urban Basic Services","United Nations General Trust Fund","676,553","697,779","21,226","44,260"
"1776","XBPAK11X06: Emergency shelter support to the most vulnerable population in Sindh","D333","Approved","QXB","1,498,942","5-Oct-11","4-Apr-12","Pakistan","Regional Office for Asia and the Pacific","Risk Reduction and Rehabilitation","United Nations General Trust Fund","1,470,035","1,498,942","28,907","96,171"
"1777","XBRAS11X02: Standardised tools and methodologies for safer schools and hospitals","D334","Approved","QXB","80,000","26-Oct-11","30-Mar-12","Regional - Asia","Regional Office for Asia and the Pacific","Urban Basic Services","UNISDR","80,000","80,000","0","5,234"
"1778","XBKOS11X01: Municipal Spatial Planning Support Project Phase 3","E034","Approved","QXB","5,579,542","1-Nov-11","30-Jun-17","Kosovo","Urban Planning and Design","Urban Planning and Design","Swedish International Development Cooperation Agency (SIDA) , , SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION AGENCY - SIDA","5,652,069","5,703,063","50,993","242,457"
"1779","DEBRIS MANAGEMENT IN SUPPORT TO THE RETURN HOME OF POPULATIONS AFFECTED BY THE EARTHQUAKE IN PORT-AU-PRINCE","F103","Approved","QXB","2,643,170","1-Jun-11","31-May-16","Haiti","Regional Office for Latin America and Caribbean","Risk Reduction and Rehabilitation","UNDP Res Rep Haiti , , GROUP OF SPONSORS","2,634,832","2,611,500","-23,332","173,636"
"1780","XBRLA11X01: SUPPORTING THE EASTERN CARIBBEAN STATES TO IMPROVE LAND POLICIES AND MANAGEMENT","F104","Approved","QXB","1,100,000","1-Jul-11","31-Aug-16","Anguilla, Antigua and Barbuda, Dominica, Grenada, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, British Virgin Islands","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance","AusAID, , AUSTRALIAN AGENCY FOR INTL DEVELOPMENT (AUSAID)","1,075,321","1,086,014","10,693","97,756"
"1781","XBHAI11X05: UNDG-HRF (Haiti Reconstruction fund) Programme d'appui a la reconst","F105","Approved","QXB","10,266,140","1-Jul-11","15-Nov-16","Haiti","Regional Office for Latin America and Caribbean","Risk Reduction and Rehabilitation","PM of Haiti to the United Nations , UNDG HRF, , MINUSTAH - INTERNAL UMOJA USE, UN DEVELOPMENT GROUP - HAITI RECONSTRUCT FLAGGED FOR ARCHIVING","10,718,867","10,407,224","-311,643","698,815"
"1782","XBHAI11X06: Support Programme for the Neighbourhoods Reconstruction and Planning","F106","Approved","QXB","2,662,194","1-Aug-11","31-Dec-17","Haiti","Regional Office for Latin America and Caribbean","Housing and Slum Upgrading","European Union , , EUROPEAN UNION - DELEGATION TO KENYA","2,415,238","2,417,823","2,585","158,006"
"1784","FSGLO11S04: Global exposure Database for Global Earthquake Model (GED4GEM)","H142","Approved","FOD","180,900","1-Sep-11","31-May-16","GLOBAL","Risk Reduction and Rehabilitation","Risk Reduction and Rehabilitation","UNIPV, , UNIVERSITY OF PAVIA - DEPARMENT OF ELECTRONICS - UNIPV","206,687","209,786","3,099","14,520"
"1786","XBIRQ11X01: Bridging for Local Area Development Programme (Phase II of Project N048)","N052","Approved","QXB","552,889","1-Jan-11","31-May-16","Iraq","Regional Office for Arab States","Risk Reduction and Rehabilitation","Swedish International Development Cooperation Agency (SIDA) , SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION AGENCY - SIDA, UNDP-HQ","547,508","0","-547,508","35,611"
"1787","XBIRQ11X02: Initiating durable shelter solutions for Iraqi IDPs and returnees","N053","Approved","QXB","5,499,833","1-Nov-11","14-Jan-18","Iraq","Regional Office for Arab States","Research and Capacity Development , Risk Reduction and Rehabilitation, Urban Land, Legislation & Governance","PM of the United States to the United Nations, PM OF THE UNITED STATES TO THE UN","7,136,338","8,999,833","1,863,495","520,108"
"1788","FDM0511SWE/MTSIP-SIDA: Development of Project Accrual and Accountability System (PAAS)","T065","Approved","FNE","592,000","26-Sep-11","31-Dec-13","GLOBAL","Management and Operations","Management","Swedish International Development Cooperation Agency (SIDA)","481,167","0","-481,167","0"
"1789","FDM0611SWE/MTSIP-SIDA: PSD Document Tracking System","T066","Approved","FNE","15,000","18-Oct-11","31-Dec-12","GLOBAL","Management and Operations","Management","Swedish International Development Cooperation Agency (SIDA)","15,060","0","-15,060","0"
"1790","FDM0711SWE/MTSIP-SIDA: Strengthening Results-Based Management in UN-Habitat","T067","Approved","FNE","163,000","1-Nov-11","31-Dec-12","GLOBAL","Management and Operations","Management","Swedish International Development Cooperation Agency (SIDA)","163,048","0","-163,048","0"
"1791","Water and Sanitation Trust Fund (AGENCE FRANCAISE DE DEVELOPPEMENT)","W048","Approved","FWS","751,071","1-Jan-11","26-May-17","GLOBAL","Urban Basic Services","Urban Basic Services","Agence Francaise de Development, AGENCE FRANCAISE DE DEVELOPPEMENT - AFD","653,257","653,258","0","75,154"
"1792","Water and Sanitation Trust Fund: BASF - HVBWSHE INITIATIVE IN SELECTED SCHOOLS OF THE STATE","W049","Approved","FWS","274,843","4-Aug-11","31-May-16","Regional - Latin America and Caribbean","Urban Basic Services","Urban Basic Services","BASF Stiftung, , BASF AG","256,506","262,876","6,369","17,896"
"1793","WATER AND SANITATION TRUST FUND (Trust Fund interest income for FNE projects)","W050","Approved","FWS","333,000","1-Jan-11","30-Jun-16","GLOBAL","Urban Basic Services","Urban Basic Services","(TERI) , , GROUP OF SPONSORS","287,783","0","-287,783","0"
"1794","Promoting Energy Efficiency in Buildings in East Africa (PrEEBEA)","W051","Approved","FEV","2,793,000","15-Aug-11","31-Dec-17","Burundi, Kenya, Rwanda, Tanzania, Uganda","Urban Basic Services","Urban Basic Services","Organization International de la Francophonie , Politecnico Di Milano , UNEP/GEF Secretariat - Kenya, , UNEP GEF SECRETARIAT - KENYA - INTERNAL UMOJA USE","2,772,432","2,428,323","-344,109","128,650"
"1795","Water and Sanitation Trust Fund - Contribution from Tillvaxtverket ( Swedish Agency for Economic and Regional Growth)","W052","Approved","FWS","74,347","1-Jun-11","31-Dec-12","Mali","Urban Basic Services","Urban Basic Services","SAERG","61,456","62,244","788","4,020"
"1796","WATER AND SANITATION TRUST FUND (JAPAN WATER FORUM)","W053","Approved","FWS","18,800","30-Nov-11","31-Dec-12","GLOBAL","Urban Basic Services","Urban Basic Services","Japan Water Forum","18,800","18,800","0","0"
"1799","Identification of best practices, policies and enabling legislation in the local delivery of basic urban services","A121","Approved","QXB","3,404,000","1-Nov-11","31-May-16","Bolivia, Colombia, Ecuador, Spain, Mozambique, El Salvador, GLOBAL, Regional - Latin America and Caribbean, United Nations Organization","Urban Legislation, Land and Governance","Urban Land, Legislation & Governance","PM of Spain to the United Nations, , PM OF SPAIN TO THE UNITED NATIONS","3,394,732","3,404,000","9,268","306,921"
"1800","Monitoring the MDGs at the municipal level in the states of Rio de Janeiro and Maranhao and strengthening Local capacities on public policies","F107","Approved","QXB","532,867","1-Dec-11","30-Oct-16","Brazil","Regional Office for Latin America and Caribbean","Urban Land, Legislation & Governance","FSADU, Fundacao Euclides da CUNHA (FEC), , FUNDACAO EUCLIDES DA CUNHA - FEC, GROUP OF SPONSORS","616,756","611,183","-5,574","70,779"
"1801","UNDAP - WASH programme Tanzania","W054","Approved","FWS","1,591,526","1-Sep-11","31-Aug-17","Tanzania","Urban Basic Services","Urban Basic Services","UNDAP of Tanzania, , UNDAP OF TANZANIA","1,575,535","1,575,535","0","103,072"
